,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75
557,603180.SH,20180913,41.468,41.9467,40.6146,41.6345,41.2807,0.35379999999999967,0.8571,7107.61,42293.768,40.9685,7842.844,42.5744,8519.2862,45.7444,10048.4976,80.7653,7668.3285,83.3925,7381.5523,58.9146,8433.7984
558,603180.SH,20180912,40.3024,42.4254,40.1359,41.2807,40.3788,0.9019000000000048,2.2336,11955.92,71648.887,40.8353,7804.042,42.8876,8848.6146,46.3001,9999.3809,81.1566,7674.8169,83.7255,7391.2706,59.3977,8457.0473
559,603180.SH,20180911,40.24,40.6563,39.7543,40.3788,40.24,0.13879999999999626,0.3449,6200.48,35931.535,40.913,8025.256,43.1961,8967.6808,46.8965,9816.7359,81.58,7622.6508,84.0448,7363.1578,59.9447,8400.1784
560,603180.SH,20180910,41.3015,41.468,40.0457,40.24,41.3084,-1.068399999999997,-2.5864,6587.26,38463.991,41.6206,8779.546,43.5062,9313.3846,47.5765,9816.4274,81.9953,7627.7135,84.3509,7368.6125,60.4765,8454.6223
561,603180.SH,20180907,40.8922,41.9606,40.5938,41.3084,40.9685,0.3399000000000001,0.8297,7362.95,43872.038,42.4796,8777.694,43.717,9667.7392,48.2796,9871.2741,82.4044,7637.9167,84.6603,7360.6707,61.077,8441.4988
562,603180.SH,20180906,41.6831,42.1618,40.7881,40.9685,41.6692,-0.7006999999999977,-1.6816,6913.6,41177.325,42.9749,8678.212,43.9715,9844.7492,48.869,9836.9574,82.8596,7610.5458,,,61.6744,8463.0581
563,603180.SH,20180905,43.9171,43.9171,41.5443,41.6692,43.9171,-2.2479000000000013,-5.1185,13061.99,79947.98,43.5647,9037.702,44.2864,9903.3915,49.4797,9853.1726,83.3064,7590.5942,,,62.3319,8437.3045
564,603180.SH,20180904,45.0549,45.0549,43.2302,43.9171,44.5346,-0.6174999999999997,-1.3866,9971.93,63209.117,44.06,8989.326,44.4524,9640.4492,50.0257,9694.1532,83.7506,7544.9712,,,63.0007,8343.3655
565,603180.SH,20180903,43.7853,44.7497,42.4671,44.5346,43.7853,0.7492999999999981,1.7113,6578.0,41363.845,44.4139,8317.796,44.5709,9593.5477,50.584,9564.255,84.1942,7521.277,,,63.6322,8263.8129
566,603180.SH,20180831,43.7298,45.041,43.2511,43.7853,43.9171,-0.13179999999999836,-0.3001,6865.54,43735.204,44.6484,9279.972,44.612,9707.5162,51.1703,9555.9959,84.6013,7506.7276,,,64.2609,8245.8249
567,603180.SH,20180830,44.1461,45.0549,43.9171,43.9171,44.1461,-0.2289999999999992,-0.5187,8711.05,55989.817,44.9495,10607.62,44.8607,9833.5769,51.8272,9564.915,85.008,7523.7518,,,64.8774,8264.3121
568,603180.SH,20180829,45.7903,45.943,43.4523,44.1461,45.6863,-1.5402000000000058,-3.3713,12820.11,81737.07,45.048,11004.336,45.1056,10046.04,52.5199,9727.3541,85.3895,7494.8067,,,65.5341,8251.5392
569,603180.SH,20180828,45.825,46.1234,45.3741,45.6863,45.7071,-0.020799999999994156,-0.0455,6614.28,43557.76,44.8149,10679.088,45.3202,10394.4162,53.0799,9608.3482,85.7503,7423.5213,,,66.2144,8118.6177
570,603180.SH,20180827,46.1234,46.4772,45.4434,45.7071,45.2908,0.41629999999999967,0.9192,11388.88,75235.271,44.6012,11289.048,45.2764,11059.3408,53.5206,9756.4215,86.0999,7401.9555,,,66.8701,8123.6499
571,603180.SH,20180824,44.6109,46.276,44.6109,45.2908,44.4097,0.8810999999999964,1.984,13503.78,88741.839,44.4721,10546.462,45.0827,11521.1192,54.1116,9578.175,86.4614,7346.3799,,,67.5611,8065.4952
572,603180.SH,20180823,42.9666,44.6109,42.9111,44.4097,42.9805,1.4292000000000016,3.3252,10694.63,67792.458,44.1794,9774.454,45.199,12260.3931,54.7378,9337.8432,86.8175,7279.5564,,,68.2457,7967.7123
573,603180.SH,20180822,44.264,45.1659,42.5989,42.9805,44.6178,-1.6373000000000033,-3.6696,11193.87,70552.274,44.3889,9507.97,45.6142,12130.2938,55.3629,9199.6747,87.173,7230.8651,,,68.9187,7890.4905
574,603180.SH,20180821,45.2422,45.721,44.0697,44.6178,45.0619,-0.44409999999999883,-0.9855,9664.08,62528.906,44.8065,8881.114,46.2877,11690.6115,56.003,9013.5862,87.545,7182.7566,,,69.6361,7812.1855
575,603180.SH,20180820,43.7506,45.0619,43.036,45.0619,43.8269,1.2349999999999994,2.8179,7675.95,48904.866,45.2867,8649.164,46.9239,11673.74,56.6607,8878.0268,87.8944,7151.3064,,,70.3212,7810.3844
576,603180.SH,20180817,46.0748,46.8241,43.7783,43.8269,45.4573,-1.6303999999999945,-3.5867,9643.74,62820.04,45.6946,9408.588,47.6593,11732.1292,57.3793,8825.5491,88.2364,7137.7452,,,71.0038,7787.1809
577,603180.SH,20180816,44.3403,46.6021,43.7922,45.4573,45.0688,0.3884999999999934,0.862,9362.21,60940.02,46.3162,10949.64,48.6824,11313.7962,58.0693,8741.7835,88.5709,7104.5196,,,71.7394,7735.2644
578,603180.SH,20180815,47.4138,47.622,44.8884,45.0688,47.0184,-1.9495999999999967,-4.1465,8059.59,53603.448,46.2483,12128.858,49.5763,11367.0046,58.8139,8647.8885,88.887,7090.8083,,,72.4412,7736.0504
579,603180.SH,20180814,47.4485,48.0382,46.4911,47.0184,47.1016,-0.08319999999999794,-0.1766,8504.33,57973.485,45.8722,13995.34,50.7654,11165.3162,59.4846,8556.7971,89.2147,7074.1127,,,73.1243,7774.4292
580,603180.SH,20180813,47.171,48.177,46.831,47.1016,46.9351,0.1664999999999992,0.3547,11473.07,78311.825,45.8292,16917.342,51.884,10953.1362,60.1776,8486.4509,89.5303,7126.996,,,73.7969,7964.8169
581,603180.SH,20180810,46.276,48.2811,46.1026,46.9351,45.1174,1.817699999999995,4.0288,17349.0,117921.392,46.3704,16423.396,53.1451,10546.7454,60.8665,8387.6803,89.8885,7079.426,,,74.6125,7877.828
582,603180.SH,20180809,43.709,45.7765,43.6882,45.1174,43.1886,1.9288000000000025,4.466,15258.3,98909.795,47.3306,14049.196,54.4692,9862.3646,61.4537,8011.8047,90.2527,7001.5173,,,75.3826,7715.3311
583,603180.SH,20180808,47.3167,47.6497,43.0846,43.1886,46.8033,-3.614699999999999,-7.7232,17392.0,113655.162,48.8847,12886.486,55.7175,9165.2785,62.1326,7729.7959,90.6193,6956.3208,,,76.1303,7618.2591
584,603180.SH,20180807,45.7071,47.2126,44.826,46.8033,49.8074,-3.004100000000001,-6.0314,23114.34,152847.755,51.1714,11095.088,57.144,8401.6569,62.845,7482.4497,90.9808,6885.5767,,,76.9668,7461.4191
585,603180.SH,20180806,51.4725,52.1039,48.7598,49.8074,51.7362,-1.9287999999999954,-3.7281,9003.34,65479.139,53.2361,7313.302,58.1772,7212.5023,63.5615,6974.3497,91.2954,6774.521,,,77.8021,7202.5479
586,603180.SH,20180803,53.3458,53.3458,51.6876,51.7362,52.8878,-1.151600000000002,-2.1774,5478.0,41392.598,54.6903,7523.418,59.1843,6947.2754,64.2079,6981.2559,91.5921,6748.4221,,,78.6111,7144.49
587,603180.SH,20180802,54.4489,54.4489,51.0354,52.8878,54.6223,-1.7345000000000041,-3.1754,9444.75,71461.427,56.4484,7515.346,60.1636,7010.29,65.0062,6941.5803,,,,,79.3775,7148.7313
588,603180.SH,20180801,57.1547,57.5432,54.5876,54.6223,57.1269,-2.5045999999999964,-4.3843,8435.01,67853.688,58.1829,6775.594,61.1813,6835.2162,65.763,6829.345,,,,,80.1825,7093.1213
589,603180.SH,20180731,57.1616,58.237,56.4401,57.1269,57.0784,0.0484999999999971,0.085,4205.41,34728.307,59.9576,6326.59,62.1697,7281.2908,66.536,6788.4412,,,,,80.9529,7030.3745
590,603180.SH,20180730,60.2629,60.9636,56.4262,57.0784,60.5265,-3.4480999999999966,-5.6968,10053.92,83901.364,61.3618,7175.918,62.6356,7632.7138,67.2386,6958.9388,,,,,81.6747,7031.9824
591,603180.SH,20180727,61.1926,62.4344,60.2421,60.5265,61.5603,-1.0337999999999994,-1.6793,5437.64,47992.601,62.2152,6404.37,62.9121,7755.3946,67.9536,7002.4909,,,,,82.3852,6956.9021
592,603180.SH,20180726,63.1352,64.3632,61.2897,61.5603,63.4959,-1.9356000000000009,-3.0484,5745.99,51778.551,62.4566,6809.826,63.3177,7746.9992,68.3994,7047.63,,,,,83.0464,6976.7563
593,603180.SH,20180725,64.4187,64.4187,63.0519,63.4959,64.1481,-0.6522000000000006,-1.0167,6189.99,56880.403,62.1916,7191.694,63.7041,7715.1923,68.9241,7079.8768,,,,,83.6143,7033.2165
594,603180.SH,20180724,61.9974,64.835,61.817,64.1481,61.3452,2.802900000000001,4.5691,8452.05,77705.83,62.0723,7064.774,63.8706,7700.3392,69.3422,7110.26,,,,,84.1876,7029.306
595,603180.SH,20180723,61.699,62.0806,59.9437,61.3452,61.7337,-0.3885000000000005,-0.6293,6196.18,54637.405,62.1361,6633.802,63.9165,7424.5554,69.8203,7023.2379,,,,,84.785,6989.7187
