trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,WeekMa10,WeekMa60,Week60-10,Week10-60
20201023,603139.SH,18.7167,19.1251,19.3742,18.5972,19.1152,-0.3985000000000021,-2.0847,2100410.0,39909738.0,19.054419999999983,17.76382166666665,-1.2905983333333317,1.2905983333333317
20201016,603139.SH,19.1152,18.8861,19.2945,18.7865,18.8861,0.22910000000000252,1.2131,2415825.0,46169180.0,19.17195999999998,17.73272499999998,-1.439235,1.439235
20201009,603139.SH,18.8861,18.4777,19.0056,18.4777,18.3083,0.5777999999999999,3.1559,688229.0,12969880.0,19.282529999999984,17.685569999999984,-1.5969599999999993,1.5969599999999993
20200930,603139.SH,18.3083,18.8263,18.8861,18.129,18.7367,-0.4283999999999999,-2.2864,1943822.0,36090814.0,19.555459999999982,17.631164999999985,-1.9242949999999972,1.9242949999999972
20200925,603139.SH,18.7367,18.5773,19.0853,18.149,18.5275,0.20919999999999916,1.1291,4727270.0,88320722.0,19.82341999999998,17.600431666666655,-2.2229883333333262,2.2229883333333262
20200918,603139.SH,18.5275,18.2287,18.6072,17.9497,18.2386,0.28889999999999816,1.584,3597862.0,66129631.0,19.832379999999983,17.56767999999999,-2.264699999999994,2.264699999999994
20200911,603139.SH,18.2386,20.2707,20.5197,17.8103,20.0615,-1.822899999999997,-9.0866,6157249.0,117347203.0,19.965059999999983,17.542724999999987,-2.422334999999997,2.422334999999997
20200904,603139.SH,20.0615,20.3802,20.5595,19.8722,20.2109,-0.14939999999999998,-0.7392,3916469.0,79548407.0,20.079049999999985,17.51963166666666,-2.5594183333333262,2.5594183333333262
20200828,603139.SH,20.2109,19.8025,20.2507,19.4041,19.7427,0.4681999999999995,2.3715,3645327.0,72732180.0,19.987949999999984,17.471571666666655,-2.5163783333333285,2.5163783333333285
20200821,603139.SH,19.7427,20.0017,20.4201,19.3044,19.8921,-0.14939999999999998,-0.7511,4431580.0,88531481.0,19.856139999999982,17.424794999999985,-2.4313449999999968,2.4313449999999968
20200814,603139.SH,19.8921,20.2308,20.8683,19.5236,20.2209,-0.3288000000000011,-1.626,4481109.0,90575019.0,19.717619999999982,17.378929999999986,-2.338689999999996,2.338689999999996
20200807,603139.SH,20.2209,21.6154,21.8445,19.6531,21.6154,-1.3945000000000007,-6.4514,8047266.0,169675681.0,19.51261999999998,17.32302833333332,-2.1895916666666615,2.1895916666666615
20200731,603139.SH,21.6154,20.8584,22.2429,20.7687,20.9879,0.6275000000000013,2.9898,12456737.0,267081856.0,19.242029999999982,17.258036666666655,-1.983993333333327,1.983993333333327
20200724,603139.SH,20.9879,19.1251,22.1732,18.9857,18.8263,2.1616,11.4818,11606608.0,240321193.0,18.786389999999983,17.18112499999999,-1.6052649999999922,1.6052649999999922
