,trade_date,open,close,high,low
94,20191110,20.5,23.58,24.73,20.5
93,20191103,19.07,20.28,21.18,19.02
92,20191027,19.35,19.43,19.87,18.63
91,20191020,19.36,19.35,20.05,18.99
90,20191013,17.65,19.38,19.5,17.62
89,20191006,17.97,17.62,18.24,17.53
88,20190929,18.49,17.87,19.1,17.73
87,20190922,18.81,18.7,19.11,18.28
86,20190915,20.92,18.57,21.53,18.29
85,20190908,19.38,20.81,20.86,19.09
84,20190901,19.62,19.36,21.27,19.05
83,20190825,20.36,20.16,21.33,19.6
82,20190818,17.52,20.5,20.79,16.64
81,20190811,17.18,17.16,17.77,15.06
80,20190804,15.74,16.94,18.13,15.44
79,20190728,16.19,16.15,16.68,15.42
78,20190721,16.93,16.02,17.68,15.75
77,20190714,15.25,17.15,17.78,14.45
76,20190707,14.97,15.2,17.86,14.33
75,20190630,13.43,13.79,14.27,13.35
74,20190623,12.03,13.44,13.66,11.96
73,20190616,11.62,12.03,12.21,11.46
72,20190609,12.82,11.7,12.85,11.17
71,20190602,12.02,12.82,13.01,11.95
70,20190526,12.19,12.02,13.13,11.83
69,20190519,11.5,12.02,12.97,11.43
68,20190512,11.62,11.55,11.66,10.59
67,20190505,12.16,11.76,12.32,11.7
66,20190428,13.11,12.14,13.36,12.09
65,20190421,13.73,13.12,13.75,12.82
64,20190414,14.24,13.46,14.63,13.3
63,20190407,13.96,14.23,14.87,13.87
62,20190331,12.38,14.1,14.49,12.32
61,20190324,11.41,12.7,12.87,11.41
60,20190317,11.04,11.41,11.76,11.03
59,20190310,10.88,11.04,11.57,10.8
58,20190303,10.37,10.84,11.16,10.25
57,20190224,10.12,10.29,10.44,10.09
56,20190217,9.52,10.11,10.32,9.52
55,20190203,9.57,9.52,9.64,9.02
54,20190127,9.75,9.57,9.79,9.45
53,20190120,9.76,9.66,9.89,9.42
52,20190113,9.66,9.69,9.99,9.37
51,20190106,11.09,9.57,11.19,9.18
50,20181230,10.42,11.37,11.37,10.33
49,20181223,10.61,10.4,10.85,10.39
48,20181216,10.7,10.7,11.15,10.22
47,20181209,11.76,11.1,12.79,11.1
46,20181202,12.29,11.63,12.5,11.45
45,20181125,12.16,12.37,12.87,11.82
44,20181118,11.95,12.16,12.51,11.88
43,20181111,11.51,11.99,12.31,11.49
42,20181104,11.19,11.53,11.71,10.8
41,20181028,10.38,11.09,11.3,9.75
40,20181021,10.61,10.37,11.0,9.7
39,20181014,11.71,10.6,11.97,10.05
38,20180930,12.34,11.69,12.41,11.63
37,20180923,12.22,12.35,12.6,11.73
36,20180916,13.14,12.23,13.19,12.23
35,20180909,13.05,13.15,14.02,12.76
34,20180902,13.1,13.15,13.59,13.01
33,20180826,11.57,13.29,13.44,11.52
32,20180819,12.38,11.76,13.14,11.62
31,20180812,12.1,12.59,13.05,11.96
30,20180805,12.34,12.25,12.54,11.24
29,20180729,11.66,12.42,12.6,11.14
28,20180722,11.85,11.79,12.9,11.41
27,20180715,10.16,11.75,11.75,9.89
26,20180708,11.27,10.06,12.0,9.75
25,20180701,11.34,11.2,11.61,10.67
24,20180624,11.57,11.05,11.91,10.25
23,20180617,12.03,11.88,12.41,11.58
22,20180610,11.92,12.04,12.75,11.76
21,20180603,12.88,12.06,13.19,11.86
20,20180527,13.02,12.87,13.26,12.25
19,20180520,13.03,12.98,14.01,12.59
18,20180513,12.99,12.96,13.72,12.85
17,20180506,12.15,12.89,13.33,11.74
16,20180429,11.3,12.03,12.08,11.02
15,20180422,11.47,11.29,11.9,11.02
14,20180415,11.07,11.58,11.82,10.9
13,20180408,11.12,11.33,12.03,11.08
12,20180401,10.18,11.16,11.18,9.9
11,20180325,10.18,10.32,10.79,10.06
10,20180318,10.44,10.25,10.81,10.19
9,20180311,10.27,10.39,10.61,10.1
8,20180304,9.41,10.35,10.4,9.36
7,20180225,9.29,9.34,9.39,9.29
6,20180218,9.28,9.29,9.42,9.15
5,20180211,9.41,9.15,9.53,8.86
4,20180204,10.34,9.41,10.39,9.17
3,20180128,10.46,10.32,10.5,10.27
2,20180121,10.74,10.42,10.76,10.31
1,20180114,10.89,10.77,11.06,10.66
0,20180107,10.62,10.88,10.93,10.61
