,trade_date,open,close,high,low
35,20180909,6.718,6.7658,7.1003,6.6798
34,20180902,6.9091,6.7085,7.1767,6.6989
33,20180826,6.7371,6.8805,6.9856,6.5938
32,20180819,6.5747,6.7085,6.8327,6.3835
31,20180812,7.1767,6.632000000000001,7.2149,6.5364
30,20180805,7.1672,7.2245,7.6259,7.0334
29,20180729,7.4921,7.1672,7.5494,7.0907
28,20180722,6.6798,7.4921,7.8265,6.4027
27,20180715,6.3644,6.6607,6.8231,6.3453
26,20180708,6.0586,6.4027,6.7371,6.0395
25,20180701,5.8388,6.0777,6.1064,5.8293
24,20180624,6.2402,5.8197,6.2402,5.7624
23,20180617,6.1542,6.2784,6.4027,6.1255
22,20180610,6.6607,6.1638,6.7371,6.1064
21,20180603,6.4887,6.6607,6.7945,6.3644
20,20180527,6.0969,6.5842,6.7276,6.0777
19,20180520,5.92,6.0969,6.3435,5.8918
18,20180513,6.0424,5.9388,6.1647,5.9012
17,20180506,5.9294,6.1459,6.1741,5.8541
16,20180429,5.7318,5.8918,5.9106,5.6094
15,20180422,5.9482,5.7318,6.0329,5.7224
14,20180415,5.9482,5.9671,6.0518,5.7318
13,20180408,6.4659,5.9576,6.4753,5.6941
12,20180401,6.4188,6.4659,6.7482,6.2118
11,20180325,6.3906,6.4847,6.6541,6.1929
10,20180318,6.56,6.3153,6.6824,6.2682
9,20180311,6.1835,6.5882,6.7765,6.0612
8,20180304,5.6847,6.1176,6.1929,5.6565
7,20180225,5.6659,5.6847,5.7129,5.6282
6,20180218,5.4871,5.6659,5.7412,5.4871
5,20180211,5.6565,5.4776,5.7882,5.4588
4,20180204,6.0235,5.7318,6.2306,5.6565
3,20180128,5.9294,5.9671,6.0141,5.8729
2,20180121,5.9294,5.9482,5.9482,5.7129
1,20180114,5.9576,5.9012,5.9671,5.8165
0,20180107,5.8165,5.9388,5.9859,5.7976
